id,user_id,department_id,full_name,email,gano,entry_year,approval_status,is_assigned
1,2001,1,YZVM Ogrenci 0001,ogrenci1@case.local,4.00,2023,approved,0
2,2002,1,YZVM Ogrenci 0002,ogrenci2@case.local,3.98,2024,approved,0
3,2003,1,YZVM Ogrenci 0003,ogrenci3@case.local,3.96,2023,approved,0
4,2004,1,YZVM Ogrenci 0004,ogrenci4@case.local,3.94,2024,approved,0
5,2005,1,YZVM Ogrenci 0005,ogrenci5@case.local,3.92,2023,approved,0
6,2006,1,YZVM Ogrenci 0006,ogrenci6@case.local,3.90,2024,approved,0
7,2007,1,YZVM Ogrenci 0007,ogrenci7@case.local,3.88,2023,approved,0
8,2008,1,YZVM Ogrenci 0008,ogrenci8@case.local,3.86,2024,approved,0
9,2009,1,YZVM Ogrenci 0009,ogrenci9@case.local,3.84,2023,approved,0
10,2010,1,YZVM Ogrenci 0010,ogrenci10@case.local,3.82,2024,approved,0
11,2011,1,YZVM Ogrenci 0011,ogrenci11@case.local,3.80,2023,approved,0
12,2012,1,YZVM Ogrenci 0012,ogrenci12@case.local,3.78,2024,approved,0
13,2013,1,YZVM Ogrenci 0013,ogrenci13@case.local,3.76,2023,approved,0
14,2014,1,YZVM Ogrenci 0014,ogrenci14@case.local,3.74,2024,approved,0
15,2015,1,YZVM Ogrenci 0015,ogrenci15@case.local,3.72,2023,approved,0
16,2016,1,YZVM Ogrenci 0016,ogrenci16@case.local,3.70,2024,approved,0
17,2017,1,YZVM Ogrenci 0017,ogrenci17@case.local,3.68,2023,approved,0
18,2018,1,YZVM Ogrenci 0018,ogrenci18@case.local,3.66,2024,approved,0
19,2019,1,YZVM Ogrenci 0019,ogrenci19@case.local,3.64,2023,approved,0
20,2020,1,YZVM Ogrenci 0020,ogrenci20@case.local,3.62,2024,approved,0
21,2021,1,YZVM Ogrenci 0021,ogrenci21@case.local,3.60,2023,approved,0
22,2022,1,YZVM Ogrenci 0022,ogrenci22@case.local,3.58,2024,approved,0
23,2023,1,YZVM Ogrenci 0023,ogrenci23@case.local,3.56,2023,approved,0
24,2024,1,YZVM Ogrenci 0024,ogrenci24@case.local,3.54,2024,approved,0
25,2025,1,YZVM Ogrenci 0025,ogrenci25@case.local,3.52,2023,approved,0
26,2026,1,YZVM Ogrenci 0026,ogrenci26@case.local,3.50,2024,approved,0
27,2027,1,YZVM Ogrenci 0027,ogrenci27@case.local,3.48,2023,approved,0
28,2028,1,YZVM Ogrenci 0028,ogrenci28@case.local,3.46,2024,approved,0
29,2029,1,YZVM Ogrenci 0029,ogrenci29@case.local,3.44,2023,approved,0
30,2030,1,YZVM Ogrenci 0030,ogrenci30@case.local,3.42,2024,approved,0
31,2031,1,YZVM Ogrenci 0031,ogrenci31@case.local,3.40,2023,approved,0
32,2032,1,YZVM Ogrenci 0032,ogrenci32@case.local,3.38,2024,approved,0
33,2033,1,YZVM Ogrenci 0033,ogrenci33@case.local,3.36,2023,approved,0
34,2034,1,YZVM Ogrenci 0034,ogrenci34@case.local,3.34,2024,approved,0
35,2035,1,YZVM Ogrenci 0035,ogrenci35@case.local,3.32,2023,approved,0
36,2036,1,YZVM Ogrenci 0036,ogrenci36@case.local,3.30,2024,approved,0
37,2037,1,YZVM Ogrenci 0037,ogrenci37@case.local,3.28,2023,approved,0
38,2038,1,YZVM Ogrenci 0038,ogrenci38@case.local,3.26,2024,approved,0
39,2039,1,YZVM Ogrenci 0039,ogrenci39@case.local,3.24,2023,approved,0
40,2040,1,YZVM Ogrenci 0040,ogrenci40@case.local,3.22,2024,approved,0
