id,user_id,department_id,full_name,email,gano,entry_year,approval_status,is_assigned
1,2001,1,YZVM Ogrenci 0001,ogrenci1@case.local,4.00,2023,approved,0
2,2002,1,YZVM Ogrenci 0002,ogrenci2@case.local,3.98,2024,approved,0
3,2003,1,YZVM Ogrenci 0003,ogrenci3@case.local,3.96,2023,approved,0
4,2004,1,YZVM Ogrenci 0004,ogrenci4@case.local,3.94,2024,approved,0
5,2005,1,YZVM Ogrenci 0005,ogrenci5@case.local,3.92,2023,approved,0
6,2006,1,YZVM Ogrenci 0006,ogrenci6@case.local,3.90,2024,approved,0
7,2007,1,YZVM Ogrenci 0007,ogrenci7@case.local,3.88,2023,approved,0
8,2008,1,YZVM Ogrenci 0008,ogrenci8@case.local,3.86,2024,approved,0
9,2009,1,YZVM Ogrenci 0009,ogrenci9@case.local,3.84,2023,approved,0
10,2010,1,YZVM Ogrenci 0010,ogrenci10@case.local,3.82,2024,approved,0
11,2011,1,YZVM Ogrenci 0011,ogrenci11@case.local,3.80,2023,approved,0
12,2012,1,YZVM Ogrenci 0012,ogrenci12@case.local,3.78,2024,approved,0
13,2013,1,YZVM Ogrenci 0013,ogrenci13@case.local,3.76,2023,approved,0
14,2014,1,YZVM Ogrenci 0014,ogrenci14@case.local,3.74,2024,approved,0
15,2015,1,YZVM Ogrenci 0015,ogrenci15@case.local,3.72,2023,approved,0
16,2016,1,YZVM Ogrenci 0016,ogrenci16@case.local,3.70,2024,approved,0
17,2017,1,YZVM Ogrenci 0017,ogrenci17@case.local,3.68,2023,approved,0
18,2018,1,YZVM Ogrenci 0018,ogrenci18@case.local,3.66,2024,approved,0
19,2019,1,YZVM Ogrenci 0019,ogrenci19@case.local,3.64,2023,approved,0
20,2020,1,YZVM Ogrenci 0020,ogrenci20@case.local,3.62,2024,approved,0
21,2021,1,YZVM Ogrenci 0021,ogrenci21@case.local,3.60,2023,approved,0
22,2022,1,YZVM Ogrenci 0022,ogrenci22@case.local,3.58,2024,approved,0
23,2023,1,YZVM Ogrenci 0023,ogrenci23@case.local,3.56,2023,approved,0
24,2024,1,YZVM Ogrenci 0024,ogrenci24@case.local,3.54,2024,approved,0
25,2025,1,YZVM Ogrenci 0025,ogrenci25@case.local,3.52,2023,approved,0
26,2026,1,YZVM Ogrenci 0026,ogrenci26@case.local,3.50,2024,approved,0
27,2027,1,YZVM Ogrenci 0027,ogrenci27@case.local,3.48,2023,approved,0
28,2028,1,YZVM Ogrenci 0028,ogrenci28@case.local,3.46,2024,approved,0
29,2029,1,YZVM Ogrenci 0029,ogrenci29@case.local,3.44,2023,approved,0
30,2030,1,YZVM Ogrenci 0030,ogrenci30@case.local,3.42,2024,approved,0
31,2031,1,YZVM Ogrenci 0031,ogrenci31@case.local,3.40,2023,approved,0
32,2032,1,YZVM Ogrenci 0032,ogrenci32@case.local,3.38,2024,approved,0
33,2033,1,YZVM Ogrenci 0033,ogrenci33@case.local,3.36,2023,approved,0
34,2034,1,YZVM Ogrenci 0034,ogrenci34@case.local,3.34,2024,approved,0
35,2035,1,YZVM Ogrenci 0035,ogrenci35@case.local,3.32,2023,approved,0
36,2036,1,YZVM Ogrenci 0036,ogrenci36@case.local,3.30,2024,approved,0
37,2037,1,YZVM Ogrenci 0037,ogrenci37@case.local,3.28,2023,approved,0
38,2038,1,YZVM Ogrenci 0038,ogrenci38@case.local,3.26,2024,approved,0
39,2039,1,YZVM Ogrenci 0039,ogrenci39@case.local,3.24,2023,approved,0
40,2040,1,YZVM Ogrenci 0040,ogrenci40@case.local,3.22,2024,approved,0
41,2041,1,YZVM Ogrenci 0041,ogrenci41@case.local,3.20,2023,approved,0
42,2042,1,YZVM Ogrenci 0042,ogrenci42@case.local,3.18,2024,approved,0
43,2043,1,YZVM Ogrenci 0043,ogrenci43@case.local,3.16,2023,approved,0
44,2044,1,YZVM Ogrenci 0044,ogrenci44@case.local,3.14,2024,approved,0
45,2045,1,YZVM Ogrenci 0045,ogrenci45@case.local,3.12,2023,approved,0
46,2046,1,YZVM Ogrenci 0046,ogrenci46@case.local,3.10,2024,approved,0
47,2047,1,YZVM Ogrenci 0047,ogrenci47@case.local,3.08,2023,approved,0
48,2048,1,YZVM Ogrenci 0048,ogrenci48@case.local,3.06,2024,approved,0
49,2049,1,YZVM Ogrenci 0049,ogrenci49@case.local,3.04,2023,approved,0
50,2050,1,YZVM Ogrenci 0050,ogrenci50@case.local,3.02,2024,approved,0
51,2051,1,YZVM Ogrenci 0051,ogrenci51@case.local,3.00,2023,approved,0
52,2052,1,YZVM Ogrenci 0052,ogrenci52@case.local,2.98,2024,approved,0
53,2053,1,YZVM Ogrenci 0053,ogrenci53@case.local,2.96,2023,approved,0
54,2054,1,YZVM Ogrenci 0054,ogrenci54@case.local,2.94,2024,approved,0
55,2055,1,YZVM Ogrenci 0055,ogrenci55@case.local,2.92,2023,approved,0
56,2056,1,YZVM Ogrenci 0056,ogrenci56@case.local,2.90,2024,approved,0
57,2057,1,YZVM Ogrenci 0057,ogrenci57@case.local,2.88,2023,approved,0
58,2058,1,YZVM Ogrenci 0058,ogrenci58@case.local,2.86,2024,approved,0
59,2059,1,YZVM Ogrenci 0059,ogrenci59@case.local,2.84,2023,approved,0
60,2060,1,YZVM Ogrenci 0060,ogrenci60@case.local,2.82,2024,approved,0
61,2061,1,YZVM Ogrenci 0061,ogrenci61@case.local,2.80,2023,approved,0
62,2062,1,YZVM Ogrenci 0062,ogrenci62@case.local,2.78,2024,approved,0
63,2063,1,YZVM Ogrenci 0063,ogrenci63@case.local,2.76,2023,approved,0
64,2064,1,YZVM Ogrenci 0064,ogrenci64@case.local,2.74,2024,approved,0
65,2065,1,YZVM Ogrenci 0065,ogrenci65@case.local,2.72,2023,approved,0
66,2066,1,YZVM Ogrenci 0066,ogrenci66@case.local,2.70,2024,approved,0
67,2067,1,YZVM Ogrenci 0067,ogrenci67@case.local,2.68,2023,approved,0
68,2068,1,YZVM Ogrenci 0068,ogrenci68@case.local,2.66,2024,approved,0
69,2069,1,YZVM Ogrenci 0069,ogrenci69@case.local,2.64,2023,approved,0
70,2070,1,YZVM Ogrenci 0070,ogrenci70@case.local,2.62,2024,approved,0
71,2071,1,YZVM Ogrenci 0071,ogrenci71@case.local,2.60,2023,approved,0
72,2072,1,YZVM Ogrenci 0072,ogrenci72@case.local,2.58,2024,approved,0
73,2073,1,YZVM Ogrenci 0073,ogrenci73@case.local,2.56,2023,approved,0
74,2074,1,YZVM Ogrenci 0074,ogrenci74@case.local,2.54,2024,approved,0
75,2075,1,YZVM Ogrenci 0075,ogrenci75@case.local,2.52,2023,approved,0
76,2076,1,YZVM Ogrenci 0076,ogrenci76@case.local,2.50,2024,approved,0
77,2077,1,YZVM Ogrenci 0077,ogrenci77@case.local,2.48,2023,approved,0
78,2078,1,YZVM Ogrenci 0078,ogrenci78@case.local,2.46,2024,approved,0
79,2079,1,YZVM Ogrenci 0079,ogrenci79@case.local,2.44,2023,approved,0
80,2080,1,YZVM Ogrenci 0080,ogrenci80@case.local,2.42,2024,approved,0
81,2081,1,YZVM Ogrenci 0081,ogrenci81@case.local,2.40,2023,approved,0
82,2082,1,YZVM Ogrenci 0082,ogrenci82@case.local,2.38,2024,approved,0
83,2083,1,YZVM Ogrenci 0083,ogrenci83@case.local,2.36,2023,approved,0
84,2084,1,YZVM Ogrenci 0084,ogrenci84@case.local,2.34,2024,approved,0
85,2085,1,YZVM Ogrenci 0085,ogrenci85@case.local,2.32,2023,approved,0
86,2086,1,YZVM Ogrenci 0086,ogrenci86@case.local,2.30,2024,approved,0
